label,cluster_no
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
maize,3
maize,4
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,4
maize,3
maize,3
maize,5
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,5
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,6
pigeonpeas,0
